Game.1,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Release_year,Mycol,Release,Month_Since_Released
Fortnite,Warner Bros. Interactive Entertainment,,8.5,,,16th Nov 18,18,2018-11-16,2018-11-16,746.0
Rayman Legends,Ubisoft,,4.5,,,12th Sep 17,17,2017-09-12,2017-09-12,1176.0
Diablo III: Eternal Collection Read the review,Blizzard Entertainment,8.0,9.0,,,02nd Nov 18,18,2018-11-02,2018-11-02,760.0
LEGO Marvel Super Heroes 2,Warner Bros. Interactive Entertainment,,,,,14th Nov 17,17,2017-11-14,2017-11-14,1113.0
LEGO City Undercover,Warner Bros. Interactive Entertainment,,8.0,,,04th Apr 17,17,2017-04-04,2017-04-04,1337.0
LEGO The Incredibles,Warner Bros. Interactive Entertainment,,6.5,,,15th Jun 18,18,2018-06-15,2018-06-15,900.0
LEGO Worlds,Warner Bros. Interactive Entertainment,,5.0,,,05th Sep 17,17,2017-09-05,2017-09-05,1183.0
Ultra Street Fighter II: The Final Challengers,Capcom,,7.0,,,26th May 17,17,2017-05-26,2017-05-26,1285.0
Starlink: Battle for Atlas,Ubisoft,,7.5,6.0,,16th Oct 18,18,2018-10-16,2018-10-16,777.0
Dragon Ball: Xenoverse 2,Namco Bandai Games,,8.0,,,22nd Sep 17,17,2017-09-22,2017-09-22,1166.0
Fire Emblem Warriors,Nintendo,,7.3,9.6,,20th Oct 17,17,2017-10-20,2017-10-20,1138.0
Fishing Spirits,Bandai Namco Games,,,,0.50m,25th Jul 19,19,2019-07-25,2019-07-25,495.0
Sonic Mania,Sega,,8.8,,,15th Aug 17,17,2017-08-15,2017-08-15,1204.0
Minecraft: Story Mode - The Complete Adventure,Telltale Games,,,,,22nd Aug 17,17,2017-08-22,2017-08-22,1197.0
Hyrule Warriors: Definitive Edition Read the review,Nintendo,7.0,8.0,,,18th May 18,18,2018-05-18,2018-05-18,928.0
L.A. Noire,Rockstar Games,,7.9,8.0,,14th Nov 17,17,2017-11-14,2017-11-14,1113.0
Dragon Ball FighterZ,Bandai Namco Entertainment,,9.0,,,28th Sep 18,18,2018-09-28,2018-09-28,795.0
LEGO DC Super-Villains,Warner Bros. Interactive Entertainment,,7.8,,,16th Oct 18,18,2018-10-16,2018-10-16,777.0
NBA 2K18,2K Sports,,7.5,,,19th Sep 17,17,2017-09-19,2017-09-19,1169.0
Doom (2016),Bethesda Softworks,,8.2,9.1,,10th Nov 17,17,2017-11-10,2017-11-10,1117.0
Nintendo Labo: Toy-Con 03 Vehicle Kit,Nintendo,,7.0,,,14th Sep 18,18,2018-09-14,2018-09-14,809.0
Rocket League,505 Games,,9.2,,,16th Jan 18,18,2018-01-16,2018-01-16,1050.0
The Lego Ninjago Movie Videogame,Warner Bros. Interactive Entertainment,,,,,22nd Sep 17,17,2017-09-22,2017-09-22,1166.0
Go Vacation,Nintendo,,,,,27th Jul 18,18,2018-07-27,2018-07-27,858.0
Bayonetta 2,Nintendo,,9.5,,0.37m,16th Feb 18,18,2018-02-16,2018-02-16,1019.0
Shovel Knight,Yacht Club Games,,9.0,,0.37m,09th Apr 19,19,2019-04-09,2019-04-09,602.0
Nintendo Labo: Toy-Con 02 Robot Kit,Nintendo,,7.0,,,20th Apr 18,18,2018-04-20,2018-04-20,956.0
Mega Man 11,Capcom,,8.0,,,02nd Oct 18,18,2018-10-02,2018-10-02,791.0
Disgaea 5 Complete,NIS America,,9.0,,,23rd May 17,17,2017-05-23,2017-05-23,1288.0
LEGO Harry Potter Collection Read the review,Warner Bros. Interactive Entertainment,6.0,,,,30th Oct 18,18,2018-10-30,2018-10-30,763.0
Dark Souls: Remastered,Bandai Namco Entertainment,,8.8,9.0,,19th Oct 18,18,2018-10-19,2018-10-19,774.0
Cars 3: Driven to Win,Warner Bros. Interactive Entertainment,,,,,13th Jun 17,17,2017-06-13,2017-06-13,1267.0
Warriors Orochi 4,Koei Tecmo,,8.5,,0.31m,16th Oct 18,18,2018-10-16,2018-10-16,777.0
Monopoly for Nintendo Switch,Ubisoft,,5.3,,,31st Oct 17,17,2017-10-31,2017-10-31,1127.0
NBA 2K19,2K Sports,,,,,11th Sep 18,18,2018-09-11,2018-09-11,812.0
Just Dance 2017,Ubisoft,,6.5,,,03rd Mar 17,17,2017-03-03,2017-03-03,1369.0
Overcooked! 2 Read the review,Sold Out,8.0,8.4,,,07th Aug 18,18,2018-08-07,2018-08-07,847.0
The Binding of Isaac: Afterbirth+,Nicalis,,9.0,,,17th Mar 17,17,2017-03-17,2017-03-17,1355.0
Resident Evil: Revelations Collection,Capcom,,,,,28th Nov 17,17,2017-11-28,2017-11-28,1099.0
Carnival Games,2K Games,,,,,06th Nov 18,18,2018-11-06,2018-11-06,756.0
The World Ends with You: Final Remix,Nintendo,,7.4,,,12th Oct 18,18,2018-10-12,2018-10-12,781.0
My Hero One's Justice,Bandai Namco Entertainment,,,,,26th Oct 18,18,2018-10-26,2018-10-26,767.0
Mega Man Legacy Collection 1+2,Capcom,,8.5,,,22nd May 18,18,2018-05-22,2018-05-22,924.0
Sid Meier's Civilization VI,2K Games,,9.4,,,16th Nov 18,18,2018-11-16,2018-11-16,746.0
Hollow Knight,Team Cherry,,,10.0,0.25m,12th Jun 18,18,2018-06-12,2018-06-12,903.0
Kamiko,Flyhigh Works,,,,0.25m,27th Apr 17,17,2017-04-27,2017-04-27,1314.0
