Game.1,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Release_year,Mycol,Release,Month_Since_Released
Super Run For Money Tousouchuu & Sentouchuu,Bandai Namco Games,,,,,29th Nov 18,18,2018-11-29,2018-11-29,733.0
SaGa: Scarlet Grace,Square Enix,,,,,03rd Dec 19,19,2019-12-03,2019-12-03,364.0
Steins;Gate Elite,Spike Chunsoft,,,,,19th Feb 19,19,2019-02-19,2019-02-19,651.0
Undertale,8-4,,9.0,,,18th Sep 18,18,2018-09-18,2018-09-18,805.0
Cats Together,Bandai Namco Games,,,,,01st Nov 18,18,2018-11-01,2018-11-01,761.0
Hunting Simulator,Bigben Interactive,,,,,10th Jul 18,18,2018-07-10,2018-07-10,875.0
Touhou Genso Wanderer Reloaded,NIS America,,,,,17th Jul 18,18,2018-07-17,2018-07-17,868.0
Hello Kitty Kruisers,Rising Star Games,,,,,15th May 18,18,2018-05-15,2018-05-15,931.0
Shaq-Fu: A Legend Reborn Read the review,Wired Productions,3.0,,,,05th Jun 18,18,2018-06-05,2018-06-05,910.0
Gear Club Unlimited 2,Microids,,,,,04th Dec 18,18,2018-12-04,2018-12-04,728.0
Gal Gun 2,PQube,,,,,24th Apr 18,18,2018-04-24,2018-04-24,952.0
The Liar Princess and the Blind Prince,NIS America,,,,,30th Mar 19,19,2019-03-30,2019-03-30,612.0
Runner3 Read the review,Nicalis,7.0,7.5,9.0,,22nd May 18,18,2018-05-22,2018-05-22,924.0
Higurashi no Naku Koro ni Hou,Entergram,,,,,26th Jul 18,18,2018-07-26,2018-07-26,859.0
Beyblade Burst: Battle Zero,FuRyu Corporation,,,,,25th Oct 18,18,2018-10-25,2018-10-25,768.0
Lumo,Rising Star Games,,,,,21st Nov 17,17,2017-11-21,2017-11-21,1106.0
Tennis World Tour,Bigben Interactive,,,,,10th Jul 18,18,2018-07-10,2018-07-10,875.0
Gal Metal!,Xseed Games,,7.0,,,30th Oct 18,18,2018-10-30,2018-10-30,763.0
Minecraft: Story Mode - Season Two,Telltale Games,,,,,06th Nov 18,18,2018-11-06,2018-11-06,756.0
Gotouchi Tetsudou for Nintendo Switch!!,Bandai Namco Games,,,,,22nd Feb 18,18,2018-02-22,2018-02-22,1013.0
Project Highrise: Architect's Edition,Kalypso Media,,,,,13th Nov 18,18,2018-11-13,2018-11-13,749.0
Fallen Legion: Rise to Glory,NIS America,,7.0,,,29th May 18,18,2018-05-29,2018-05-29,917.0
Senran Kagura: Peach and Reflexions Limited Double Pack,Marvelous,,,,,13th Dec 18,18,2018-12-13,2018-12-13,719.0
GRIP: Combat Racing,U&I Entertainment,,,,,06th Nov 18,18,2018-11-06,2018-11-06,756.0
Rapala Fishing Pro Series,GameMill Entertainment,,,,,16th Oct 18,18,2018-10-16,2018-10-16,777.0
Musynx Read the review,PM Studios,7.0,7.5,,,19th Jun 18,18,2018-06-19,2018-06-19,896.0
VOEZ,PM Studios,,8.5,,,14th Aug 18,18,2018-08-14,2018-08-14,840.0
Banner Saga Trilogy,Gearbox Software,,,,,21st Sep 18,18,2018-09-21,2018-09-21,802.0
Nobunaga's Ambition: Taishi,Koei Tecmo,,,,,30th Nov 17,17,2017-11-30,2017-11-30,1097.0
Moto Racer 4,Maximum Games,,,,,20th Nov 18,18,2018-11-20,2018-11-20,742.0
Unbox: Newbie's Adventure,Merge Games,,,,,01st Nov 17,17,2017-11-01,2017-11-01,1126.0
Flipping Death,Rising Star,,7.5,,,16th Oct 18,18,2018-10-16,2018-10-16,777.0
Max: The Curse of Brotherhood,Wired Productions,,,,,24th Apr 18,18,2018-04-24,2018-04-24,952.0
Brawlout,Merge Games,,6.2,,,26th Jun 18,18,2018-06-26,2018-06-26,889.0
Mega Man X Legacy Collection 1,Capcom,,,,,26th Jul 18,18,2018-07-26,2018-07-26,859.0
Big Buck Hunter Arcade,GameMill Entertainment,,,,,16th Oct 18,18,2018-10-16,2018-10-16,777.0
Mercenaries Saga Chronicles,PM Studios,,,,,11th Sep 18,18,2018-09-11,2018-09-11,812.0
Billion Road,Bandai Namco Games,,,,,29th Nov 18,18,2018-11-29,2018-11-29,733.0
Hotel Transylvania 3: Monsters Overboard,Outright Games,,6.5,,,10th Jul 18,18,2018-07-10,2018-07-10,875.0
This Is the Police 2,THQ Nordic,,,,,25th Sep 18,18,2018-09-25,2018-09-25,798.0
Titan Quest,THQ Nordic,,,,,31st Jul 18,18,2018-07-31,2018-07-31,854.0
Nari Kids Park: Hugtto! PreCure,Bandai Namco Games,,,,,21st Nov 18,18,2018-11-21,2018-11-21,741.0
All-Star Fruit Racing,PQube,,,,,21st Aug 18,18,2018-08-21,2018-08-21,833.0
Warriors Orochi 3,Tecmo Koei,,,,,09th Nov 17,17,2017-11-09,2017-11-09,1118.0
Candle: The Power of the Flame,Merge Games,,,,,16th Oct 18,18,2018-10-16,2018-10-16,777.0
Crayola Scoot,Outright Games,,,,,16th Oct 18,18,2018-10-16,2018-10-16,777.0
Onimusha: Warlords,Capcom,,,,,15th Jan 19,19,2019-01-15,2019-01-15,686.0
Capcom Beat 'Em Up Bundle,Capcom,,,,,18th Sep 18,18,2018-09-18,2018-09-18,805.0
Jake Hunter Detective Story: Prism of Eyes,Arc System Works,,,,,09th Aug 18,18,2018-08-09,2018-08-09,845.0
Mega Man X Legacy Collection 2,Capcom,,,,,26th Jul 18,18,2018-07-26,2018-07-26,859.0
Winning Post 8 2018,Koei Tecmo,,,,,15th Mar 18,18,2018-03-15,2018-03-15,992.0
Legendary Fishing,Ubisoft,,,,,18th Sep 18,18,2018-09-18,2018-09-18,805.0
Hasbro Game Night for Nintendo Switch,Ubisoft,,,,,30th Oct 18,18,2018-10-30,2018-10-30,763.0
Champion Jockey Special,Tecmo Koei,,,,,14th Sep 17,17,2017-09-14,2017-09-14,1174.0
The Princess Guide,NIS America,,,,,15th Mar 19,19,2019-03-15,2019-03-15,627.0
Peach Ball: Senran Kagura,Marvelous Entertainment,,,,,13th Dec 18,18,2018-12-13,2018-12-13,719.0
Lapis x Labyrinth,Nippon Ichi Software,,,,,29th Nov 18,18,2018-11-29,2018-11-29,733.0
Trailblazers,Rising Star Games,,,,,15th Apr 18,18,2018-04-15,2018-04-15,961.0
WORKxWORK,FuRyu Corporation,,,2.5,,04th Oct 18,18,2018-10-04,2018-10-04,789.0
Atelier: The Alchemist of Arland 1-2-3 DX,Koei Tecmo,,,,,20th Sep 18,18,2018-09-20,2018-09-20,803.0
Neo Atlas 1469,Studio Artdink,,,,,19th Apr 18,18,2018-04-19,2018-04-19,957.0
Yoku's Island Express,Villa Gorilla,,9.0,,,19th Jun 18,18,2018-06-19,2018-06-19,896.0
SteamWorld Dig 2,Rising Star Games,,,,,19th Jun 18,18,2018-06-19,2018-06-19,896.0
Giana Sisters: Twisted Dreams,THQ Nordic,,,,,25th Sep 18,18,2018-09-25,2018-09-25,798.0
Cube Creator X,Arc System Works,,,,,26th Apr 18,18,2018-04-26,2018-04-26,950.0
Super Putty Squad,System 3,,,,,09th Nov 17,17,2017-11-09,2017-11-09,1118.0
RPG Maker MV,NIS America,,,,,01st Mar 19,19,2019-03-01,2019-03-01,641.0
Legend of Kay Anniversary,THQ Nordic,,6.5,,,29th May 18,18,2018-05-29,2018-05-29,917.0
Syberia 2,Microids,,,,,30th Nov 17,17,2017-11-30,2017-11-30,1097.0
Nil Admirari no Tenbin: Irodori Nadeshiko,Idea Factory,,,,,20th Sep 18,18,2018-09-20,2018-09-20,803.0
ATV Drift & Tricks,Microids,,,,,22nd Nov 18,18,2018-11-22,2018-11-22,740.0
Kunio-kun: The World Classics Collection,Arc System Works,,,,,20th Dec 18,18,2018-12-20,2018-12-20,712.0
Happy Birthdays,NIS America,,8.5,,,05th Jun 18,18,2018-06-05,2018-06-05,910.0
World End Syndrome,Arc System Works,,,,,02nd May 19,19,2019-05-02,2019-05-02,579.0
Nari Kids Park: Ultraman R/B,Bandai Namco Games,,,,,21st Nov 18,18,2018-11-21,2018-11-21,741.0
Winning Post 8 2017,Tecmo Koei,,,,,14th Sep 17,17,2017-09-14,2017-09-14,1174.0
Dynasty Warriors 8: Empires,Tecmo Koei,,,,,09th Nov 17,17,2017-11-09,2017-11-09,1118.0
Daitoshokan no Hitsujikai: Library Party,Aria,,,,,26th Jul 18,18,2018-07-26,2018-07-26,859.0
Cendrillon palikA,Idea Factory,,,,,25th Oct 18,18,2018-10-25,2018-10-25,768.0
Samurai Warriors: Sanada Maru,Tecmo Koei,,,,,09th Nov 17,17,2017-11-09,2017-11-09,1118.0
Hakuoki: Shinkai - Fuukaden,Idea Factory,,,,,06th Sep 18,18,2018-09-06,2018-09-06,817.0
Aokana: Four Rhythm Across the Blue,Sprite,,,,,21st Aug 20,20,2020-08-21,2020-08-21,102.0
Deemo: The Last Recital,PM Studios,,,,,29th Jan 19,19,2019-01-29,2019-01-29,672.0
The Mahjong,D3Publisher,,,,,23rd Jun 18,18,2018-06-23,2018-06-23,892.0
Closed Nightmare,Nippon Ichi Software,,,,,19th Jul 18,18,2018-07-19,2018-07-19,866.0
WorldNeverland: Elnea Kingdom,althi Inc.,,,,,15th Mar 18,18,2018-03-15,2018-03-15,992.0
Nari Kids Park: Kaitou Sentai Lupinranger Vs. Keisatsu Sentai Patoranger,Bandai Namco Games,,,,,21st Nov 18,18,2018-11-21,2018-11-21,741.0
This is the Police,THQ Nordic,,,,,05th Dec 17,17,2017-12-05,2017-12-05,1092.0
"Nora, Princess, and Stray Cat",Harukaze,,,,,25th Oct 18,18,2018-10-25,2018-10-25,768.0
Memories Off: Innocent File,5pb,,,,,25th Oct 18,18,2018-10-25,2018-10-25,768.0
Dragon Quest XI: Echoes of an Elusive Age S - Definitive Edition,Square Enix,,,,,27th Sep 19,19,2019-09-27,2019-09-27,431.0
Metroid Prime 4,Nintendo,,,,,31st Dec 21,21,2021-12-31,2021-12-31,-395.0
Mighty Gunvolt Burst,Inti Creates,,8.0,,,15th Jun 17,17,2017-06-15,2017-06-15,1265.0
Namco Museum,Namco Bandai Games,,7.7,,,28th Jul 17,17,2017-07-28,2017-07-28,1222.0
Redout Read the review,Nicalis,6.0,,,,30th Dec 18,18,2018-12-30,2018-12-30,702.0
Crawl,Unknown,,,,,,,,,
Fallout Shelter,Bethesda Softworks,,,,,10th Jun 18,18,2018-06-10,2018-06-10,905.0
The Infectious Madness of Doctor Dekker,Wales Interactive Ltd.,,,,,05th Jun 18,18,2018-06-05,2018-06-05,910.0
じんるいのみなさまへ,Unknown,,,,,,,,,
レミロア~少女と異世界と魔導書,Unknown,,,,,,,,,
10 Second Run RETURNS,Blue Print,,,,,25th Jan 18,18,2018-01-25,2018-01-25,1041.0
198X,Hi-Bit Studios,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
1993 Shenandoah Read the review,Unknown,7.0,,,,,,,,
2064: Read Only Memories INTEGRAL,MidBoss,,,,,26th Jul 18,18,2018-07-26,2018-07-26,859.0
20XX,Batterystaple Games,,,,,10th Jul 18,18,2018-07-10,2018-07-10,875.0
36 Fragments of Midnight,Petite Games,,,,,14th Sep 17,17,2017-09-14,2017-09-14,1174.0
39 Days to Mars,It's Anecdotal,,,,,16th May 19,19,2019-05-16,2019-05-16,565.0
3D MiniGolf,Merge Games,,,,,01st Feb 18,18,2018-02-01,2018-02-01,1034.0
60 Seconds!,Robot Gentleman Studios,,,,,18th Dec 17,17,2017-12-18,2017-12-18,1079.0
7th Sector,Sometimes You,,,,,05th Feb 20,20,2020-02-05,2020-02-05,300.0
8-Bit Armies,Soedesco,,,,,21st Sep 18,18,2018-09-21,2018-09-21,802.0
99Vidas - Definitive Edition,Unknown,,,,,27th Nov 18,18,2018-11-27,2018-11-27,735.0
A Duel Hand Disaster: Trackher,Unknown,,,,,,,,,
A Gummy's Life Read the review,Unknown,4.0,,,,,,,,
A Hole New World,Dolores Entertainment SL,,,,,01st Mar 18,18,2018-03-01,2018-03-01,1006.0
A Normal Lost Phone,Plug In Digital,,,,,01st Mar 18,18,2018-03-01,2018-03-01,1006.0
A Rat’s Quest: The Way Back Home,HandyGames,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
A Robot Named Fight!,Hitcents,,,,,26th Apr 18,18,2018-04-26,2018-04-26,950.0
A Winter's Daydream,Unknown,,,,,,,,,
ABZU,505 Games,,,,,29th Nov 18,18,2018-11-29,2018-11-29,733.0
ACA NEOGEO 2020 SUPER BASEBALL,Hamster Corporation,,,,,08th Feb 18,18,2018-02-08,2018-02-08,1027.0
ACA NEOGEO AERO FIGHTERS 2,Hamster Corporation,,,,,03rd Aug 17,17,2017-08-03,2017-08-03,1216.0
ACA NEOGEO AERO FIGHTERS 3,Hamster Corporation,,,,,15th Mar 18,18,2018-03-15,2018-03-15,992.0
ACA NEOGEO ALPHA MISSION II,Hamster Corporation,,,,,06th Apr 17,17,2017-04-06,2017-04-06,1335.0
ACA NEOGEO ART OF FIGHTING,Hamster Corporation,,,,,21st Sep 17,17,2017-09-21,2017-09-21,1167.0
ACA NEOGEO ART OF FIGHTING 2,Hamster Corporation,,,,,11th Jan 18,18,2018-01-11,2018-01-11,1055.0
ACA NEOGEO ART OF FIGHTING 3,Hamster Corporation,,,,,02nd Nov 17,17,2017-11-02,2017-11-02,1125.0
ACA NEOGEO BASEBALL STARS PROFESSIONAL,Hamster Corporation,,,,,17th May 18,18,2018-05-17,2018-05-17,929.0
ACA NEOGEO BLAZING STAR,Hamster Corporation,,,,,02nd May 17,17,2017-05-02,2017-05-02,1309.0
ACA NEOGEO BLUE'S JOURNEY,Hamster Corporation,,,6.5,,07th Sep 17,17,2017-09-07,2017-09-07,1181.0
ACA NEOGEO BURNING FIGHT,Hamster Corporation,,,,,28th Sep 17,17,2017-09-28,2017-09-28,1160.0
ACA NEOGEO FATAL FURY,Hamster Corporation,,,,,20th Apr 17,17,2017-04-20,2017-04-20,1321.0
ACA NEOGEO FATAL FURY 2,Hamster Corporation,,,,,22nd Jun 17,17,2017-06-22,2017-06-22,1258.0
ACA NEOGEO FATAL FURY 3,Hamster Corporation,,,,,15th Feb 18,18,2018-02-15,2018-02-15,1020.0
ACA NEOGEO FATAL FURY SPECIAL,Hamster Corporation,,,,,13th Jul 17,17,2017-07-13,2017-07-13,1237.0
ACA NEOGEO GALAXY FIGHT: UNIVERSAL WARRIORS,Hamster Corporation,,,,,18th May 17,17,2017-05-18,2017-05-18,1293.0
ACA NEOGEO GAROU: MARK OF THE WOLVES,Hamster Corporation,,,,,11th May 17,17,2017-05-11,2017-05-11,1300.0
ACA NEOGEO GHOST PILOTS,Hamster Corporation,,,,,26th Apr 18,18,2018-04-26,2018-04-26,950.0
ACA NEOGEO Gururin,Hamster Corporation,,,,,12th Apr 18,18,2018-04-12,2018-04-12,964.0
ACA NEOGEO KARNOV'S REVENGE,Hamster Corporation,,,,,16th Nov 17,17,2017-11-16,2017-11-16,1111.0
ACA NEOGEO KING OF THE MONSTERS,Hamster Corporation,,,,,04th Jan 18,18,2018-01-04,2018-01-04,1062.0
ACA NEOGEO LAST RESORT,Hamster Corporation,,,,,01st Jun 17,17,2017-06-01,2017-06-01,1279.0
ACA NEOGEO LEAGUE BOWLING,Hamster Corporation,,,,,19th Jul 18,18,2018-07-19,2018-07-19,866.0
ACA NEOGEO MAGICAL DROP II,Hamster Corporation,,,,,29th Jun 17,17,2017-06-29,2017-06-29,1251.0
ACA NEOGEO MAGICAL DROP III,Hamster Corporation,,,,,22nd Feb 18,18,2018-02-22,2018-02-22,1013.0
ACA NEOGEO MAGICIAN LORD,Hamster Corporation,,,,,17th Aug 17,17,2017-08-17,2017-08-17,1202.0
ACA NEOGEO METAL SLUG,Hamster Corporation,,,,,30th Mar 17,17,2017-03-30,2017-03-30,1342.0
ACA NEOGEO METAL SLUG 2,Hamster Corporation,,,,,06th Jul 17,17,2017-07-06,2017-07-06,1244.0
ACA NEOGEO METAL SLUG 3,Hamster Corporation,,,,,03rd Mar 17,17,2017-03-03,2017-03-03,1369.0
ACA NEOGEO METAL SLUG X,Hamster Corporation,,,,,05th Oct 17,17,2017-10-05,2017-10-05,1153.0
ACA NEOGEO Money Puzzle Exchanger,Hamster Corporation,,,,,28th Jun 18,18,2018-06-28,2018-06-28,887.0
ACA NEOGEO MUTATION NATION,Hamster Corporation,,,,,26th Oct 17,17,2017-10-26,2017-10-26,1132.0
ACA NEOGEO NAM-1975,Hamster Corporation,,,,,09th Mar 17,17,2017-03-09,2017-03-09,1363.0
ACA NEOGEO NEO TURF MASTERS,Hamster Corporation,,,,,23rd Mar 17,17,2017-03-23,2017-03-23,1349.0
ACA NEOGEO NINJA COMBAT,Hamster Corporation,,,,,31st May 18,18,2018-05-31,2018-05-31,915.0
ACA NEOGEO OVER TOP,Hamster Corporation,,,,,27th Apr 17,17,2017-04-27,2017-04-27,1314.0
ACA NEOGEO POWER SPIKES II,Hamster Corporation,,,,,18th Jan 18,18,2018-01-18,2018-01-18,1048.0
ACA NEOGEO PREHISTORIC ISLE 2,Hamster Corporation,,,,,02nd Aug 18,18,2018-08-02,2018-08-02,852.0
ACA NEOGEO PULSTAR,Hamster Corporation,,,,,21st Dec 17,17,2017-12-21,2017-12-21,1076.0
ACA NEOGEO PUZZLED,Hamster Corporation,,,,,24th Aug 17,17,2017-08-24,2017-08-24,1195.0
ACA NEOGEO REAL BOUT FATAL FURY,Hamster Corporation,,,,,18th Mar 18,18,2018-03-18,2018-03-18,989.0
ACA NEOGEO REAL BOUT FATAL FURY SPECIAL,Hamster Corporation,,,,,19th Apr 18,18,2018-04-19,2018-04-19,957.0
ACA NEOGEO RIDING HERO,Hamster Corporation,,,,,07th Jun 18,18,2018-06-07,2018-06-07,908.0
ACA NEOGEO ROBO ARMY,Hamster Corporation,,,,,19th Oct 17,17,2017-10-19,2017-10-19,1139.0
ACA NEOGEO SAMURAI SHODOWN,Hamster Corporation,,,,,20th Jul 17,17,2017-07-20,2017-07-20,1230.0
ACA NEOGEO SAMURAI SHODOWN II,Hamster Corporation,,,,,01st Feb 18,18,2018-02-01,2018-02-01,1034.0
ACA NEOGEO SAMURAI SHODOWN III,Hamster Corporation,,,,,05th Apr 18,18,2018-04-05,2018-04-05,971.0
ACA NEOGEO SAMURAI SHODOWN IV,Hamster Corporation,,,,,13th Apr 17,17,2017-04-13,2017-04-13,1328.0
ACA NEOGEO SAMURAI SHODOWN V,Hamster Corporation,,,,,05th Jul 18,18,2018-07-05,2018-07-05,880.0
ACA NEOGEO SENGOKU,Hamster Corporation,,,,,15th Jun 17,17,2017-06-15,2017-06-15,1265.0
ACA NEOGEO SENGOKU 2,Hamster Corporation,,,,,01st Mar 18,18,2018-03-01,2018-03-01,1006.0
ACA NEOGEO SENGOKU 3,Hamster Corporation,,,,,29th Mar 18,18,2018-03-29,2018-03-29,978.0
ACA NEOGEO SHOCK TROOPERS,Hamster Corporation,,,,,03rd Mar 17,17,2017-03-03,2017-03-03,1369.0
ACA NEOGEO SHOCK TROOPERS 2nd Squad,Hamster Corporation,,,,,08th Jun 17,17,2017-06-08,2017-06-08,1272.0
ACA NEOGEO SOCCER BRAWL,Hamster Corporation,,,,,22nd Nov 17,17,2017-11-22,2017-11-22,1105.0
ACA NEOGEO SPIN MASTER,Hamster Corporation,,,,,14th Sep 17,17,2017-09-14,2017-09-14,1174.0
ACA NEOGEO STAKES WINNER,Hamster Corporation,,,,,02nd May 18,18,2018-05-02,2018-05-02,944.0
ACA NEOGEO STREET HOOP,Hamster Corporation,,,,,09th Nov 17,17,2017-11-09,2017-11-09,1118.0
ACA NEOGEO SUPER SIDEKICKS,Hamster Corporation,,,,,27th Jul 17,17,2017-07-27,2017-07-27,1223.0
ACA NEOGEO SUPER SIDEKICKS 2,Hamster Corporation,,,,,10th May 18,18,2018-05-10,2018-05-10,936.0
ACA NEOGEO SUPER SIDEKICKS 3 : THE NEXT GLORY,Hamster Corporation,,,,,14th Jun 18,18,2018-06-14,2018-06-14,901.0
ACA NEOGEO THE KING OF FIGHTERS '94,Hamster Corporation,,,,,16th Mar 17,17,2017-03-16,2017-03-16,1356.0
ACA NEOGEO THE KING OF FIGHTERS '95,Hamster Corporation,,,,,12th Oct 17,17,2017-10-12,2017-10-12,1146.0
ACA NEOGEO THE KING OF FIGHTERS '96,Hamster Corporation,,,,,28th Dec 17,17,2017-12-28,2017-12-28,1069.0
ACA NEOGEO THE KING OF FIGHTERS '97,Hamster Corporation,,,,,26th Jul 18,18,2018-07-26,2018-07-26,859.0
ACA NEOGEO THE KING OF FIGHTERS '98,Hamster Corporation,,,,,03rd Mar 17,17,2017-03-03,2017-03-03,1369.0
ACA NEOGEO THE KING OF FIGHTERS '99,Hamster Corporation,,,,,25th May 17,17,2017-05-25,2017-05-25,1286.0
ACA NEOGEO THE KING OF FIGHTERS 2000,Hamster Corporation,,,,,10th Aug 17,17,2017-08-10,2017-08-10,1209.0
ACA NEOGEO THE LAST BLADE,Hamster Corporation,,,,,14th Dec 17,17,2017-12-14,2017-12-14,1083.0
ACA NEOGEO THE LAST BLADE 2,Hamster Corporation,,,,,21st Jun 18,18,2018-06-21,2018-06-21,894.0
ACA NEOGEO THE SUPER SPY,Hamster Corporation,,,,,12th Jul 18,18,2018-07-12,2018-07-12,873.0
ACA NEOGEO TOP HUNTER RODDY ? CATHY,Hamster Corporation,,,,,07th Dec 17,17,2017-12-07,2017-12-07,1090.0
ACA NEOGEO TOP PLAYER'S GOLF,Hamster Corporation,,,,,24th May 18,18,2018-05-24,2018-05-24,922.0
ACA NEOGEO WAKU WAKU 7,Hamster Corporation,,,,,03rd Mar 17,17,2017-03-03,2017-03-03,1369.0
ACA NEOGEO WORLD HEROES,Hamster Corporation,,,,,30th Nov 17,17,2017-11-30,2017-11-30,1097.0
ACA NEOGEO WORLD HEROES 2,Hamster Corporation,,,,,25th Jan 18,18,2018-01-25,2018-01-25,1041.0
ACA NEOGEO WORLD HEROES 2 JET,Hamster Corporation,,,,,22nd Mar 18,18,2018-03-22,2018-03-22,985.0
ACA NEOGEO WORLD HEROES PERFECT,Hamster Corporation,,,,,03rd Mar 17,17,2017-03-03,2017-03-03,1369.0
ACA NEOGEO ZED BLADE,Hamster Corporation,,,,,31st Aug 17,17,2017-08-31,2017-08-31,1188.0
Ace Attorney 123: Wright Selection,Capcom,,,,,21st Feb 19,19,2019-02-21,2019-02-21,649.0
Ace of Seafood,AGM Playism,,,,,22nd Feb 18,18,2018-02-22,2018-02-22,1013.0
Aces of the Luftwaffe,HandyGames,,,,,17th Nov 17,17,2017-11-17,2017-11-17,1110.0
Achtung! Cthulhu Tactics,Unknown,,,,,,,,,
ACORN Tactics,TACS Games,,,,,07th Dec 17,17,2017-12-07,2017-12-07,1090.0
Aegis Defenders,Humble Bundle,,,,,08th Feb 18,18,2018-02-08,2018-02-08,1027.0
AeternoBlade,"Corecell Technology Co.,Ltd.",,,,,01st Feb 18,18,2018-02-01,2018-02-01,1034.0
AFL Evolution 2,Tru Blu Entertainment,,,,,16th Apr 20,20,2020-04-16,2020-04-16,229.0
Afterparty,Night School Studio,,,,,30th Dec 20,20,2020-12-30,2020-12-30,-29.0
Agent A: A puzzle in disguise,Yak & Co,,,,,29th Aug 19,19,2019-08-29,2019-08-29,460.0
Aggelos,PQube,,,8.0,,24th Sep 19,19,2019-09-24,2019-09-24,434.0
AI: The Somnium Files,Spike Chunsoft,,,,,17th Sep 19,19,2019-09-17,2019-09-17,441.0
Air Conflicts: Double Pack,U&I Entertainment,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
Air Hockey,Sabec Limited,,,,,28th Feb 18,18,2018-02-28,2018-02-28,1007.0
Alien: Isolation,Sega,,,,,05th Dec 19,19,2019-12-05,2019-12-05,362.0
Alteric,Sometimes You,,,,,30th Mar 18,18,2018-03-30,2018-03-30,977.0
Alternate Jake Hunter: Daedalus The Awakening of Golden Jazz,Arc System Works,,,,,23rd May 19,19,2019-05-23,2019-05-23,558.0
Alvastia Chronicles,Kemco,,,,,14th Feb 19,19,2019-02-14,2019-02-14,656.0
Alwa's Legacy Read the review,Unknown,7.0,,,,,,,,
Ambition of the Slimes,Flyhigh Works,,,,,18th Jan 18,18,2018-01-18,2018-01-18,1048.0
American Ninja Warrior: Challenge,GameMill Entertainment,,,,,19th Mar 19,19,2019-03-19,2019-03-19,623.0
Among the Sleep,Krillbite Studio,,,,,29th May 19,19,2019-05-29,2019-05-29,552.0
Anata no Yonkihi Kyoudoutan,Unknown,,,,,,,,,
Angels of Death Read the review,Active Gaming Media,6.0,,,,28th Jun 18,18,2018-06-28,2018-06-28,887.0
Animated Jigsaws: Beautiful Japanese Scenery,Rainy Frog,,,,,05th Apr 18,18,2018-04-05,2018-04-05,971.0
Anodyne,Analgesic Productions,,,,,28th Feb 19,19,2019-02-28,2019-02-28,642.0
Anonymous;Code,5pb,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Antiquia Lost,Kemco,,,,,16th Nov 17,17,2017-11-16,2017-11-16,1111.0
AO Tennis 2,Big Ben Interactive,,,,,09th Jan 20,20,2020-01-09,2020-01-09,327.0
Aokana: Four Rhythm Across the Blue,Sprite,,,,,21st Aug 20,20,2020-08-21,2020-08-21,102.0
Aperion Cyberstorm,aPriori Digital,,,,,08th Feb 18,18,2018-02-08,2018-02-08,1027.0
Apex Legends,Electronic Arts,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
AQUA KITTY UDX,Tikipod,,,,,15th Feb 18,18,2018-02-15,2018-02-15,1020.0
Aragami: Shadow Edition Read the review,Merge Games,6.0,,,,26th Feb 19,19,2019-02-26,2019-02-26,644.0
Arcade Archives: Crazy Climber,Hamster Corporation,,,,,08th Feb 18,18,2018-02-08,2018-02-08,1027.0
Arcade Archives: Donkey Kong,Hamster Corporation,,,,,14th Jun 18,18,2018-06-14,2018-06-14,901.0
Arcade Archives: Double Dragon,Taito Corporation,,,,,18th Jan 18,18,2018-01-18,2018-01-18,1048.0
Arcade Archives: Heroic Episode,Hamster Corporation,,,,,22nd Feb 18,18,2018-02-22,2018-02-22,1013.0
Arcade Archives: Kid Niki Radical Ninja,Hamster Corporation,,,,,25th Jan 18,18,2018-01-25,2018-01-25,1041.0
Arcade Archives: Mario Bros.,Hamster Corporation,,,,,27th Sep 17,17,2017-09-27,2017-09-27,1161.0
Arcade Archives: Moon Patrol,Hamster Corporation,,,,,22nd Mar 18,18,2018-03-22,2018-03-22,985.0
Arcade Archives: Psycho Soldier,Hamster Corporation,,,,,25th Apr 19,19,2019-04-25,2019-04-25,586.0
Arcade Archives: Star Force,Hamster Corporation,,,,,01st Mar 18,18,2018-03-01,2018-03-01,1006.0
Arcade Archives: Traverse USA,Hamster Corporation,,,,,30th Nov 17,17,2017-11-30,2017-11-30,1097.0
Arcade Archives: Vs. Super Mario Bros.,Hamster Corporation,,,,,22nd Dec 17,17,2017-12-22,2017-12-22,1075.0
Arcade Spirits,PQube,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Arena Of Valor,Unknown,,,,,,,,,
Ary and the Secret of Seasons,Modus Games,,,,,01st Sep 20,20,2020-09-01,2020-09-01,91.0
Asdivine Dios,Kemco,,,,,05th Jun 19,19,2019-06-05,2019-06-05,545.0
Asdivine Hearts II,Kemco,,,,,24th Jan 19,19,2019-01-24,2019-01-24,677.0
Asonde Shogi ga Tsuyoku Naru Ginsei Shogi DX,Silver Star Japan,,,,,14th Dec 17,17,2017-12-14,2017-12-14,1083.0
Assassin's Creed III Remastered,Ubisoft,,,,,21st May 19,19,2019-05-21,2019-05-21,560.0
Assassin's Creed Odyssey: Cloud Version,Ubisoft,,,,,05th Oct 18,18,2018-10-05,2018-10-05,788.0
Assassin's Creed: The Rebel Collection,Unknown,,,,,,,,,
